customer_name,zip_count,location_count,zip_codes
XL CONSTRUCTION CORP.,2,2,"95035,95811"
Hamstra-Appleton LLC,2,2,"03062,28237"
Walters & Wolf Interiors,2,2,"94538,94107"
L-3 Harris - SONOMA EO,2,2,"94577,95403"
North East Medical Services (NEMS),2,2,"94014,94015"
Healthy Pets Veterinary Hospital,2,2,"94127,94070"
Calidad Industries,2,2,"94501,94568"
Disability Services & Legal Center - DSLC,2,2,"95401,94559"
Social Security Administration ,2,2,"95123,94801"
Colton Commercial Partners ,2,2,"94133,94108"
Skydio,2,2,"94402,94002"
Batteries Plus,2,2,"94901,95066"
Kaiser Capital Projects,2,2,"94903,95337"
Trainor Commercial Construction Inc.,2,2,"94901,94111"
Michaels,2,2,"94903,94403"
VA Outpatient Clinic - Clearlake,2,2,"94903,95422"
North River V,2,2,"94903,94901"
Office Space ,2,2,"94901,94301"
Redwood Credit Union ,2,2,"94901,95457"
Merlone Geier Properties,2,2,"94903,92602"
Party City,2,2,"94945,95014"
Arntz Builders Inc,2,2,"94949,94954"
Bank of Marin,2,2,"94947,94904"
"Cinemark USA, Inc",2,2,"94925,75093"
Sofia Jewelry ,2,2,"94941,94904"
Jovance Salon & Barbering ,2,2,"94806,94564"
"Nutricion Fundamental, Inc",2,2,"94806,91748"
"ALCAL Specialty Contracting, Inc.",2,2,"94542,95834"
La Quinta,2,2,"94621,95368"
Super King Food Center,2,2,"95207,95210"
Alliance Gas Station,2,2,"94122,94533"
Arizmendi Bakery,2,2,"94549,94610"
Citizen Hotel,2,2,"94025,94102"
PROS (Professional Retail Outlet Services),2,2,"48390,48382"
Matt Wilson,2,2,"94061,95746"
99 Cents Only Stores LLC,2,2,"94579,90023"
Alta Bates Summit Medical Center - Herrick Campus,2,2,"94609,94704"
ARCO AM/PM,2,2,"95403,95817"
"Tormax USA, Inc.",2,2,"78247,94587"
"Gaynor Telesystems, Inc",2,2,"95834,96003"
California Teachers Association (CTA),2,2,"94010,95127"
"US Glass & Aluminum, Inc",2,2,"94571,94565"
DCARA,2,2,"94578,94577"
Briarwood Property Management ,2,2,"94577,94043"
Alameda County,2,2,"94578,94541"
Wells Fargo Building,2,2,"94577,94520"
Johnson Controls,2,2,"94577,95630"
CVS,2,2,"94560,94015"
Kay Jewelers,2,2,"94560,95010"
Hester Fabrication,2,2,"94545,94608"
Kaiser Capitol Projects Facilities Construction,2,2,"94545,95051"
Moule’s Tehama County Glass,2,2,"94542,96080"
"Automated Services and Products, Inc",2,2,"94608,94623"
City of Fremont,2,2,"94539,94538"
Shell,2,2,"94588,95476"
Native American Health Center,2,2,"94601,95811"
Peets Coffee,2,2,"94705,94123"
Healthcare Realty,2,2,"94609,94538"
"Vaughn Management Group, Inc. ",2,2,"94704,95616"
"Dog Lover, Inc.",2,2,"94538,94565"
Tobi LLC,2,2,"94536,94070"
